"time","ober","unter1","unter2"
2023-09-20 12:01:00,24.5,18,18
2023-09-20 13:01:00,23.5,18,18.5
2023-09-20 14:01:00,23.5,18.5,18.5
2023-09-20 15:01:00,27.5,18.5,19
2023-09-20 16:01:00,25.5,19,19
2023-09-20 17:01:00,25,19,19.5
2023-09-20 18:01:00,24.5,19,19.5
2023-09-20 19:01:00,22.5,19,19.5
2023-09-20 20:01:00,15.5,18.5,19.5
2023-09-20 21:01:00,14,18.5,19
2023-09-20 22:01:00,14.5,18,18.5
2023-09-20 23:01:00,15,18,18.5
2023-09-21 00:01:00,14.5,17.5,18.5
2023-09-21 01:01:00,14.5,17.5,18
2023-09-21 02:01:00,14,17.5,18
2023-09-21 03:01:00,14,17,18
2023-09-21 04:01:00,14,17,18
2023-09-21 05:01:00,14,17,17.5
2023-09-21 06:01:00,14.5,17,17.5
2023-09-21 07:01:00,14.5,17,17.5
2023-09-21 08:01:00,15,16.5,17.5
2023-09-21 09:01:00,17.5,17,17.5
2023-09-21 10:01:00,21,17,17.5
2023-09-21 11:01:00,26,17,18
2023-09-21 12:01:00,29,17.5,18
2023-09-21 13:01:00,27.5,18.5,18.5
2023-09-21 14:01:00,28,19,19
2023-09-21 15:01:00,24,19,19.5
2023-09-21 16:01:00,23.5,19,19.5
2023-09-21 17:01:00,23.5,19,19.5
2023-09-21 18:01:00,22.5,19.5,19.5
2023-09-21 19:01:00,18,19.5,19.5
2023-09-21 20:01:00,16.5,19,19.5
2023-09-21 21:01:00,17,18.5,19.5
2023-09-21 22:01:00,15,18.5,19
2023-09-21 23:01:00,13.5,18,19
2023-09-22 00:01:00,13,17.5,18.5
2023-09-22 01:01:00,12.5,17,18
2023-09-22 02:01:00,12,16.5,17.5
2023-09-22 03:01:00,12,16.5,17.5
2023-09-22 04:01:00,12,16,17
2023-09-22 05:01:00,11.5,16,17
2023-09-22 06:01:00,11.5,16,17
2023-09-22 07:01:00,11.5,16,17
2023-09-22 08:01:00,11.5,15.5,16.5
2023-09-22 09:01:00,13,15.5,16.5
2023-09-22 10:01:00,13,15.5,16.5
2023-09-22 11:01:00,13,16,16.5
2023-09-22 12:01:00,14,16,16.5
2023-09-22 13:01:00,14.5,16,17
2023-09-22 14:01:00,16.5,16,17
2023-09-22 15:01:00,18.5,16.5,17
2023-09-22 16:01:00,18.5,16.5,17
2023-09-22 17:01:00,17,16.5,17
2023-09-22 18:01:00,16,16.5,17
2023-09-22 19:01:00,12.5,16.5,17
2023-09-22 20:01:00,11,16,17
2023-09-22 21:01:00,12,15.5,16.5
2023-09-22 22:01:00,11.5,15.5,16.5
2023-09-22 23:01:00,11.5,15.5,16.5
2023-09-23 00:01:00,10.5,15.5,16
2023-09-23 01:01:00,10,15,16
2023-09-23 02:01:00,9,14.5,15.5
2023-09-23 03:01:00,9.5,14,15.5
2023-09-23 04:01:00,9.5,14,15
2023-09-23 05:01:00,9.5,14,15
2023-09-23 06:01:00,9.5,14,15
2023-09-23 07:01:00,9,14,15
2023-09-23 08:01:00,9.5,14,15
2023-09-23 09:01:00,11,14,15
2023-09-23 10:01:00,12.5,14,15
2023-09-23 11:01:00,14.5,14.5,15
2023-09-23 12:01:00,14.5,14.5,15.5
2023-09-23 13:01:00,17.5,15,15.5
2023-09-23 14:01:00,14,15.5,16
2023-09-23 15:01:00,19.5,15.5,16
2023-09-23 16:01:00,19,15.5,16
2023-09-23 17:01:00,17.5,16,16.5
2023-09-23 18:01:00,13,15.5,16.5
2023-09-23 19:01:00,11.5,15.5,16.5
2023-09-23 20:01:00,10,15.5,16
2023-09-23 21:01:00,8.5,15,16
2023-09-23 22:01:00,7.5,15,16
2023-09-23 23:01:00,8.5,14.5,15.5
2023-09-24 00:01:00,9,14.5,15.5
2023-09-24 01:01:00,9.5,14.5,15.5
2023-09-24 02:01:00,9.5,14.5,15.5
2023-09-24 03:01:00,7.5,14,15
2023-09-24 04:01:00,8,14,15
2023-09-24 05:01:00,6,14,15
2023-09-24 06:01:00,6,13.5,14.5
2023-09-24 07:01:00,5,13.5,14.5
2023-09-24 08:01:00,7.5,13,14.5
2023-09-24 09:01:00,13.5,13,14
2023-09-24 10:01:00,16.5,13.5,14.5
2023-09-24 11:01:00,19,13.5,14.5
2023-09-24 12:01:00,20,14.5,15
2023-09-24 13:01:00,20,15,15.5
2023-09-24 14:01:00,20.5,15,15.5
2023-09-24 15:01:00,20.5,15.5,16
2023-09-24 16:01:00,22,15.5,16
2023-09-24 17:01:00,19,15.5,16
2023-09-24 18:01:00,22.5,16,16.5
2023-09-24 19:01:00,13.5,15.5,16.5
2023-09-24 20:01:00,9.5,15.5,16
2023-09-24 21:01:00,7,15,16
2023-09-24 22:01:00,6.5,14.5,15.5
2023-09-24 23:01:00,7,14.5,15.5
2023-09-25 00:01:00,6.5,14,15
2023-09-25 01:01:00,6.5,14,15
2023-09-25 02:01:00,6,13.5,14.5
2023-09-25 03:01:00,5,13.5,14.5
2023-09-25 04:01:00,5,13,14.5
2023-09-25 05:01:00,4,13,14
2023-09-25 06:01:00,4.5,13,14
2023-09-25 07:01:00,5,12.5,14
2023-09-25 08:01:00,5.5,12.5,13.5
2023-09-25 09:01:00,10.5,12.5,13.5
2023-09-25 10:01:00,16.5,12.5,13.5
2023-09-25 11:01:00,19.5,13,14
2023-09-25 12:01:00,21.5,13.5,14.5
2023-09-25 13:01:00,21,14,15
2023-09-25 14:01:00,21.5,14.5,15
2023-09-25 15:01:00,21,15,15.5
2023-09-25 16:01:00,21,15,15.5
2023-09-25 17:01:00,19.5,15.5,16
2023-09-25 18:01:00,26,15.5,16
2023-09-25 19:01:00,13.5,15.5,16
2023-09-25 20:01:00,10,15.5,16
2023-09-25 21:01:00,9,15,16
2023-09-25 22:01:00,9,15,15.5
2023-09-25 23:01:00,8,14.5,15.5
2023-09-26 00:01:00,7.5,14.5,15
2023-09-26 01:01:00,7,14,15
2023-09-26 02:01:00,8,14,15
2023-09-26 03:01:00,7,13.5,14.5
2023-09-26 04:01:00,6.5,13.5,14.5
2023-09-26 05:01:00,6.5,13.5,14.5
2023-09-26 06:01:00,6.5,13,14
2023-09-26 07:01:00,6.5,13,14
2023-09-26 08:01:00,8,13,14
2023-09-26 09:01:00,14,13,14
2023-09-26 10:01:00,18.5,13,14
2023-09-26 11:01:00,21.5,13.5,14.5
2023-09-26 12:01:00,22.5,14,15
2023-09-26 13:01:00,22,15,15
2023-09-26 14:01:00,23,15,15.5
2023-09-26 15:01:00,22,15.5,16
2023-09-26 16:01:00,22.5,15.5,16
2023-09-26 17:01:00,20.5,16,16.5
2023-09-26 18:01:00,32,16,16.5
2023-09-26 19:01:00,14.5,16,16.5
2023-09-26 20:01:00,11.5,16,16.5
2023-09-26 21:01:00,10,15.5,16
2023-09-26 22:01:00,9,15,16
2023-09-26 23:01:00,8.5,15,15.5
2023-09-27 00:01:00,7.5,14.5,15.5
2023-09-27 01:01:00,7.5,14.5,15.5
2023-09-27 02:01:00,7,14,15
2023-09-27 03:01:00,7.5,14,15
2023-09-27 04:01:00,8,13.5,14.5
2023-09-27 05:01:00,7,13.5,14.5
2023-09-27 06:01:00,8,13.5,14.5
2023-09-27 07:01:00,7,13,14
2023-09-27 08:01:00,7,13,14
2023-09-27 09:01:00,14.5,13,14
2023-09-27 10:01:00,19.5,13.5,14
2023-09-27 11:01:00,22,13.5,14.5
2023-09-27 12:01:00,24,14.5,15
2023-09-27 13:01:00,23.5,15,15.5
2023-09-27 14:01:00,23,15.5,15.5
2023-09-27 15:01:00,23,15.5,16
2023-09-27 16:01:00,23,16,16.5
2023-09-27 17:01:00,22,16,16.5
2023-09-27 18:01:00,28,16.5,17
2023-09-27 19:01:00,15,16.5,17
2023-09-27 20:01:00,13.5,16,16.5
2023-09-27 21:01:00,12,16,16.5
2023-09-27 22:01:00,11,15.5,16.5
2023-09-27 23:01:00,10.5,15.5,16
2023-09-28 00:01:00,10,15,16
2023-09-28 01:01:00,9.5,15,15.5
2023-09-28 02:01:00,10,14.5,15.5
2023-09-28 03:01:00,11,14.5,15.5
2023-09-28 04:01:00,11.5,14.5,15
2023-09-28 05:01:00,11,14.5,15
2023-09-28 06:01:00,11.5,14,15
2023-09-28 07:01:00,10,14,15
2023-09-28 08:01:00,11.5,14,15
2023-09-28 09:01:00,14,14,15
2023-09-28 10:01:00,22.5,14.5,15
2023-09-28 11:01:00,26.5,15,15.5
2023-09-28 12:01:00,27,15.5,16
2023-09-28 13:01:00,25.5,16,16.5
2023-09-28 14:01:00,25.5,16.5,17
2023-09-28 15:01:00,23,16.5,17
2023-09-28 16:01:00,24,17,17
2023-09-28 17:01:00,23.5,17,17.5
2023-09-28 18:01:00,32.5,17,17.5
2023-09-28 19:01:00,16.5,17,17.5
2023-09-28 20:01:00,12,17,17.5
2023-09-28 21:01:00,11,16.5,17
2023-09-28 22:01:00,10,16,17
2023-09-28 23:01:00,10,15.5,16.5
2023-09-29 00:01:00,10,15.5,16.5
2023-09-29 01:01:00,9,15,16
2023-09-29 02:01:00,9.5,15,16
2023-09-29 03:01:00,9.5,14.5,15.5
2023-09-29 04:01:00,9,14.5,15.5
2023-09-29 05:01:00,9,14,15
2023-09-29 06:01:00,8.5,14,15
2023-09-29 07:01:00,8,14,15
2023-09-29 08:01:00,10.5,13.5,14.5
2023-09-29 09:01:00,19.5,14,14.5
2023-09-29 10:01:00,20.5,14,15
2023-09-29 11:01:00,22.5,14.5,15
2023-09-29 12:01:00,27,15.5,15.5
2023-09-29 13:01:00,25.5,16,16.5
2023-09-29 14:01:00,25,16.5,16.5
2023-09-29 15:01:00,25,16.5,17
2023-09-29 16:01:00,26,17,17
2023-09-29 17:01:00,24.5,17,17.5
2023-09-29 18:01:00,22,17.5,17.5
2023-09-29 19:01:00,18,17,17.5
2023-09-29 20:01:00,17.5,17,17.5
2023-09-29 21:01:00,15.5,17,17.5
2023-09-29 22:01:00,15.5,16.5,17.5
2023-09-29 23:01:00,15.5,16.5,17
2023-09-30 00:01:00,15.5,16.5,17
2023-09-30 01:01:00,15.5,16.5,17
2023-09-30 02:01:00,15,16.5,17
2023-09-30 03:01:00,14.5,16,17
2023-09-30 04:01:00,14.5,16,17
2023-09-30 05:01:00,14,16,16.5
2023-09-30 06:01:00,14.5,16,16.5
2023-09-30 07:01:00,14,16,16.5
2023-09-30 08:01:00,14.5,16,16.5
2023-09-30 09:01:00,16,15.5,16.5
2023-09-30 10:01:00,19,16,16.5
2023-09-30 11:01:00,23,16,16.5
2023-09-30 12:01:00,22.5,16.5,17
2023-09-30 13:01:00,23.5,17,17
2023-09-30 14:01:00,23,17,17.5
2023-09-30 15:01:00,23.5,17,17.5
2023-09-30 16:01:00,24,17.5,18
2023-09-30 17:01:00,21.5,17.5,18
2023-09-30 18:01:00,22.5,17.5,18
2023-09-30 19:01:00,15,17.5,18
2023-09-30 20:01:00,13.5,17,18
2023-09-30 21:01:00,12.5,17,17.5
2023-09-30 22:01:00,11.5,16.5,17.5
2023-09-30 23:01:00,12.5,16.5,17
2023-10-01 00:01:00,11.5,16,17
2023-10-01 01:01:00,10.5,16,16.5
2023-10-01 02:01:00,10.5,15.5,16.5
2023-10-01 03:01:00,10,15.5,16.5
2023-10-01 04:01:00,9.5,15,16
2023-10-01 05:01:00,9.5,15,16
2023-10-01 06:01:00,8.5,15,15.5
2023-10-01 07:01:00,9,14.5,15.5
2023-10-01 08:01:00,9,14.5,15.5
2023-10-01 09:01:00,13.5,14.5,15
2023-10-01 10:01:00,16.5,14.5,15.5
2023-10-01 11:01:00,22,15,15.5
2023-10-01 12:01:00,23.5,15.5,16
2023-10-01 13:01:00,23,16,16.5
2023-10-01 14:01:00,23,16.5,17
2023-10-01 15:01:00,22.5,16.5,17
2023-10-01 16:01:00,22,17,17
2023-10-01 17:01:00,22.5,17,17.5
2023-10-01 18:01:00,25.5,17,17.5
2023-10-01 19:01:00,15.5,17,17.5
2023-10-01 20:01:00,13,17,17.5
2023-10-01 21:01:00,11.5,16.5,17
2023-10-01 22:01:00,11.5,16,17
2023-10-01 23:01:00,11,16,16.5
2023-10-02 00:01:00,11,15.5,16.5
2023-10-02 01:01:00,11.5,15.5,16
2023-10-02 02:01:00,11,15,16
2023-10-02 03:01:00,10.5,15,16
2023-10-02 04:01:00,9,15,15.5
2023-10-02 05:01:00,8.5,14.5,15.5
2023-10-02 06:01:00,8,14.5,15.5
2023-10-02 07:01:00,7.5,14,15
2023-10-02 08:01:00,9,14,15
2023-10-02 09:01:00,15.5,14,15
2023-10-02 10:01:00,21.5,14,15
2023-10-02 11:01:00,23,15,15.5
2023-10-02 12:01:00,25,15.5,16
2023-10-02 13:01:00,23.5,16,16.5
2023-10-02 14:01:00,23.5,16.5,16.5
2023-10-02 15:01:00,23.5,16.5,17
2023-10-02 16:01:00,23.5,17,17
2023-10-02 17:01:00,22.5,17,17.5
2023-10-02 18:01:00,24,17,17.5
2023-10-02 19:01:00,15,17,17.5
2023-10-02 20:01:00,13.5,16.5,17.5
2023-10-02 21:01:00,13,16.5,17
2023-10-02 22:01:00,12,16,17
2023-10-02 23:01:00,12.5,16,16.5
2023-10-03 00:01:00,11,15.5,16.5
2023-10-03 01:01:00,11.5,15.5,16.5
2023-10-03 02:01:00,12.5,15,16
2023-10-03 03:01:00,12.5,15,16
2023-10-03 04:01:00,12,15,16
2023-10-03 05:01:00,12.5,15,15.5
2023-10-03 06:01:00,11.5,15,15.5
2023-10-03 07:01:00,10,14.5,15.5
2023-10-03 08:01:00,11.5,14.5,15.5
2023-10-03 09:01:00,19,14.5,15.5
2023-10-03 10:01:00,22.5,14.5,15.5
2023-10-03 11:01:00,19,15,15.5
2023-10-03 12:01:00,26,15.5,16
2023-10-03 13:01:00,24.5,16,16.5
2023-10-03 14:01:00,22.5,16.5,17
2023-10-03 15:01:00,24,16.5,17
2023-10-03 16:01:00,23.5,17,17
2023-10-03 17:01:00,19.5,17,17.5
2023-10-03 18:01:00,19,17,17.5
2023-10-03 19:01:00,18.5,16.5,17.5
2023-10-03 20:01:00,17,16.5,17
2023-10-03 21:01:00,16,16.5,17
2023-10-03 22:01:00,15,16,17
2023-10-03 23:01:00,13.5,16,17
2023-10-04 00:01:00,12.5,16,16.5
2023-10-04 01:01:00,12.5,16,16.5
2023-10-04 02:01:00,12.5,15.5,16.5
2023-10-04 03:01:00,11.5,15.5,16.5
2023-10-04 04:01:00,9.5,15.5,16
2023-10-04 05:01:00,11,15,16
2023-10-04 06:01:00,11,15,16
2023-10-04 07:01:00,10.5,15,15.5
2023-10-04 08:01:00,11,14.5,15.5
2023-10-04 09:01:00,13.5,14.5,15.5
2023-10-04 10:01:00,20,15,15.5
